_row_id,Order_ID,y_pred,risk_level,priority_score,Traffic,Vehicle,Order_Period,Area,Category,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude
42376,qjzw184742800,181.69626894280452,low,1.17,Jam ,motorcycle ,Evening,Metropolitian ,Clothing,12.972161,77.596014,13.052161,77.676014
9788,zgdu330581471,84.64259971961778,medium,1.67,Jam ,van,Evening,Metropolitian ,Apparel,11.003008,76.97544,11.113008,77.08544
14141,geop858602748,38.56643096933884,low,1.17,Jam ,motorcycle ,Evening,Metropolitian ,Grocery,18.546947,73.900626,18.616947,73.970626
34377,psqt401935008,229.93730341589765,medium,1.67,Jam ,motorcycle ,Evening,Metropolitian ,Jewelry,19.1093,72.825451,19.2193,72.935451
2113,ocbg529160503,94.951100157296,high,2.17,Jam ,scooter ,Evening,Other,Sports,22.722634,75.886959,22.802634,75.966959
7925,tvpc165252510,201.2075180611573,medium,1.67,Jam ,scooter ,Evening,Metropolitian ,Shoes,17.440827,78.393391,17.510827,78.463391
25098,hzkr102840172,185.83001116315165,medium,1.67,Jam ,scooter ,Evening,Urban ,Kitchen,0.0,0.0,0.08,0.08
25696,qanh567637196,125.765892357466,medium,1.67,Jam ,motorcycle ,Evening,Urban ,Snacks,11.025083,77.015393,11.095083,77.085393
5784,kkni283102635,198.77894776559023,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Toys,11.02091,76.940432,11.09091,77.010432
32111,yzod046149213,197.6288499446411,high,2.17,Jam ,scooter ,Evening,Urban ,Shoes,12.352058,76.60665,12.482058,76.73665
11778,jmld708166963,226.0266873148286,low,1.17,Jam ,motorcycle ,Evening,Metropolitian ,Outdoors,18.536562,73.896485,18.626562,73.986485
39002,qpkr903508423,186.9097007392295,medium,1.67,Jam ,van,Evening,Metropolitian ,Toys,26.911378,75.789034,26.991378,75.869034
24307,pmpo208611067,120.36707327497052,low,1.17,Jam ,motorcycle ,Evening,Urban ,Clothing,19.1093,72.825451,19.1793,72.895451
39736,cidk863738295,188.4363158874689,low,1.17,Jam ,scooter ,Evening,Metropolitian ,Jewelry,11.022477,76.995667,11.152477,77.125667
6137,txlj001636854,202.2292304983447,high,2.17,Jam ,scooter ,Evening,Metropolitian ,Clothing,19.003517,72.82765,19.113517,72.93765
25445,qpkz221631850,198.6743550003928,low,1.17,Jam ,motorcycle ,Evening,Urban ,Skincare,17.431668,78.408321,17.541668,78.518321
10238,fomw933786888,204.3885895051471,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Sports,19.131141,72.813074,19.201141,72.883074
26795,ompd077558272,110.03029920403988,low,1.17,Jam ,van,Evening,Metropolitian ,Home,10.994136,76.963303,11.104136,77.073303
33866,jgpl972959252,204.5482435938524,high,2.17,Jam ,scooter ,Evening,Metropolitian ,Books,0.0,0.0,0.09,0.09
30401,rbqi609855581,183.38498572495035,medium,1.67,Jam ,motorcycle ,Evening,Metropolitian ,Toys,26.910262,75.783013,27.040262,75.913013
23667,maso846757507,139.18954022570986,medium,1.67,Jam ,motorcycle ,Evening,Metropolitian ,Kitchen,22.31279,73.170283,22.42279,73.280283
41153,kugj561066709,188.7022436902202,low,1.17,Jam ,motorcycle ,Evening,Metropolitian ,Toys,23.374989,85.335486,23.464989,85.425486
16195,sryz134866643,206.46245502413927,low,1.17,Jam ,scooter ,Evening,Metropolitian ,Sports,11.025083,77.015393,11.135083,77.125393
21250,mjps079763939,199.8185191232256,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Home,22.75004,75.902847,22.84004,75.992847
11780,ydqp773751515,187.2645153314428,low,1.17,Jam ,motorcycle ,Evening,Metropolitian ,Skincare,22.310329,73.169083,22.390329,73.249083
17672,btjl535066312,201.56632832017297,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Kitchen,13.022394,80.242439,13.152394,80.372439
28528,gnbd941440009,188.87918450983895,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Cosmetics,0.0,0.0,0.08,0.08
33291,bqer393276375,197.9548620130214,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Skincare,21.149569,72.772697,21.279569,72.902697
17538,vrov890222278,203.772803459864,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Outdoors,26.913726,75.75282,27.053726,75.89282
8769,ljma738183350,132.03087555883133,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Clothing,17.433809,78.386744,17.563809,78.516744
33565,stdz893622369,111.68877197212348,medium,1.67,Jam ,van,Evening,Metropolitian ,Electronics,22.310329,73.169083,22.400329,73.259083
20877,rlhr880330735,230.22173273023975,medium,1.67,Jam ,motorcycle ,Evening,Metropolitian ,Toys,11.010375,76.95295,11.090375,77.03295
16177,exoe108496110,189.6202423427445,low,1.17,Jam ,scooter ,Evening,Metropolitian ,Electronics,19.103249,72.846749,19.183249,72.926749
15870,jdfa645428385,110.94425038816968,medium,1.67,Jam ,scooter ,Evening,Metropolitian ,Sports,21.160437,72.774209,21.290437,72.904209
10206,shiu839078778,108.15728931957108,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Clothing,18.55144,73.804855,18.62144,73.874855
2881,davf256821898,154.45072295116066,low,1.17,Jam ,van,Evening,Metropolitian ,Apparel,22.744648,75.894377,22.824648,75.974377
19433,oaft169041246,184.89386601249475,medium,1.67,Jam ,scooter ,Evening,Metropolitian ,Books,12.933298,77.614293,13.063298,77.744293
27346,ooeh358967916,105.71914888560532,medium,1.67,Jam ,scooter ,Evening,Urban ,Toys,21.149569,72.772697,21.229569,72.852697
23624,fipy901741197,200.9639021683649,low,1.17,Jam ,motorcycle ,Evening,Metropolitian ,Jewelry,26.956431,75.776649,27.036431,75.856649
40683,ooae819196746,16.20231378479956,low,1.17,Jam ,scooter ,Evening,Urban ,Grocery,22.725835,75.887648,22.835835,75.997648
23124,nlbf359132461,203.19167385320935,high,2.17,Jam ,scooter ,Evening,Urban ,Outdoors,23.354422,85.3329,23.424422,85.4029
8892,rpdk448267522,200.87686108771905,low,1.17,Jam ,motorcycle ,Evening,Metropolitian ,Outdoors,22.753839,75.897429,22.833838,75.977429
21614,dvjg954952420,184.15143662740203,low,1.17,Jam ,scooter ,Evening,Urban ,Apparel,12.972532,77.608179,13.102532,77.738179
23566,whix931151348,108.0010112275782,high,2.17,Jam ,motorcycle ,Evening,Metropolitian ,Outdoors,17.429585,78.392621,17.539585,78.502621
28961,atik561697569,153.239819383586,medium,1.67,Jam ,scooter ,Evening,Metropolitian ,Toys,12.323225,76.630028,12.453225,76.760028
1658,navo855178808,108.87455903275097,low,1.17,Jam ,motorcycle ,Evening,Metropolitian ,Apparel,19.003517,72.82765,19.083517,72.90765
16601,myug523061335,209.91437222933112,low,1.17,Jam ,van,Evening,Metropolitian ,Shoes,12.978453,77.643685,13.058453,77.723685
