seq_global,Order_ID,priority_score,risk_level,y_pred,Vehicle,Traffic,Order_Period,Area,Category,Drop_Latitude,Drop_Longitude
1,jpus007477697,2.17,high,124.88564019889508,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,13.109096,77.770625
2,kfsv900925791,2.17,high,178.99609426059988,van,Medium ,Evening,Metropolitian ,Pet Supplies,0.09,0.09
3,jhvd139152976,2.17,high,138.23725364858183,van,Medium ,Evening,Metropolitian ,Cosmetics,23.484878,85.445739
4,tcws535201783,2.17,high,176.04785751976647,motorcycle ,Medium ,Evening,Metropolitian ,Kitchen,17.503809,78.456744
5,mbjb993247671,2.17,high,114.69024017998288,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,26.899596,75.850512
6,nqqt513099434,2.17,high,108.88153382419138,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,17.533216,78.602111
7,uwif317990455,2.17,high,188.41674732634087,motorcycle ,Medium ,Evening,Metropolitian ,Books,11.135083,77.125393
8,ofqw115966632,2.17,high,122.92450645387764,motorcycle ,Medium ,Evening,Urban ,Clothing,17.515894,78.435467
9,qbrw268309802,2.17,high,165.79524750207503,motorcycle ,Medium ,Evening,Metropolitian ,Outdoors,12.374747,76.715861
10,ejcv009693712,2.17,high,131.94635498965533,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,11.090762,77.071876
11,bper944108915,2.17,high,166.01125921274027,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,22.38279,73.240283
12,hirc291434367,2.17,high,181.66086854058008,van,Jam ,Evening,Metropolitian ,Electronics,22.38279,73.240283
13,idiq199628587,2.17,high,192.39931480216788,motorcycle ,Medium ,Evening,Metropolitian ,Home,23.47925,85.470464
14,snqf816289607,2.17,high,85.5000647524501,scooter ,Medium ,Evening,Metropolitian ,Clothing,19.2393,72.955451
15,kpzh855681732,2.17,high,132.83923071892468,motorcycle ,Medium ,Evening,Metropolitian ,Books,17.490371,78.517225
16,yugn324934002,2.17,high,161.23681831347727,motorcycle ,Medium ,Evening,Urban ,Jewelry,13.049496,77.735999
17,xbxa538625570,2.17,high,165.4606877518222,motorcycle ,Medium ,Evening,Metropolitian ,Apparel,27.054142,75.945704
